  المصطلح الإنجليزي,المصطلح العربي,ملاحظات وأمثلة,تصنيفات,شاهد,الاسم
 -parallel execution pipes, خطوط تنفيذ (متوازية),,حوسبة,,
 ' (Single Quote),إشارة تنصيص (منفردة),,حوسبة,,
_ under score,شَرطَة سُفلية,,حوسبة,,
- (hyphen / dash),شَرطَة,,حوسبة,,
",",فاصلة (انجليزية),,حوسبة,,
;,فاصلة منقوطة (انجليزية),,حوسبة,,
!,إشارة التعجب,,حوسبة,,
.,نقطة,,حوسبة,,
""" (Double Quote)",إشارة تنصيص مزدوجة,,حوسبة,,
@,إشارة البريد,,حوسبة,,
*,إشارة النجمة,,حوسبة,,
/,شرطة مائلة أمامية,,حوسبة,,
\,شرطة مائلة خلفية,,حوسبة,,
&,إشارة مع,,حوسبة,,
#,إشارة المربع,,حوسبة,,
%,نسبة مئوية,,حوسبة,,
^,أشارة الطاقية,,حوسبة,,
=,إشارة مساواة,,حوسبة,,
|,إشارة العصا,,حوسبة,,
$,إشارة الدولار,,حوسبة,,
About,حول,,حوسبة,,
access,وصول,,أمن,,
Action,إجراء,,برمجة,,
active - inactive,فَعّال - خامِل,,حوسبة,,
Admin App,تطبيق المدير / ادارة النظام,,عام,,
Administrator - Administration,مُدير - إدارَة,,حوسبة,,
Affiliate Network,شبكات مُرتبطة,,عام,,
alarm,تَنبيه - مُنَبِّه,,حوسبة,,
alert,إنذار,,حوسبة,,
Already,بالفعل، مُسبقا، قد سبق أن، آنفا,,عام,,
Antidote,تِرياق,,حوسبة,,
Application Programming Interface,واجهة برمجية,,برمجة,,
architecture,مِعمارية,,حوسبة,,
assign - assignment - assigned,يُعيّن - تَعيين - مُعَيَّن,,حوسبة,,
atomic,كتلة واحدة,"قطعة (دفعة) واحدة لا تقبل التقسيم ( من النص المصدري والبيانات).
دفعة واحدة من العمليات تُنَفّذ كوحدة واحدة لا تقبل التقسيم.",حوسبة,,
Attache - attachment,يُلحِق - مُلحَق,,حوسبة,,
attitude,مسلك,,عام,,
authenticate - authentication,يَتَحَقق - تحقق من الهوية,,أمن,,
authorize - authorization - authorized,يُخَوِّل - تَخويل - مُخَوَّل,,أمن,,
Auto complete,إكمال تِلقائي,,حوسبة,,
auto script , مهمة آلية,,إدارة أنظمة,,
Automatic,تِلقائي,,عام,,
background, خَلفية,,عام,,
backup,احتياط,"نسخة احتياطية، خطة احتياطية : backup copy, backup plan",عام,,
Behavior,سُلوك,,عام,,
benchmark,قياس أداء معياري,,إدارة أنظمة، برمجة,,
binary,ثنائي ,النظام الثنائي، ملف ثنائي (بهيئة ثنائية),حوسبة,,
Blocker ticket , تَذكِرة سَدّادَة,,ضبط جودة,,
blog,مُدَوِّنَة,,شابكة,,
board,لَوح,,عام,,
Body,بَدن,,حوسبة,,
Boolean,منطِقي, مُتغير منطِقي,برمجية,,
Branch,فرع,,إدراة نص مصدري,,
brand,علامة تجارية,,عام,,
Brightness,إضاءة,,واجهة مستخدم,,
Bug,ثَغرة,,ضبط جودة,,
Business Rules,قواعد الأعمال,,توثيق,,
byte,الثُمانية,حجم الملف مئة ألف ثُمانية,عام,,
cache,تَخزين مؤقت,تخزين مؤقت لغايات الوصول السريع للبيانات,حوسبة,,
camera , قُمرَة أو آلة تصوير,,عام,,
Carbon Copy (CC),نُسخَة كَربونية,,حوسبة,,
cascade,تتابع,حذف متتابع Casdcaded delete,قواعد البيانات,,رشا
category,تصنيف,,عام,,
character,مِحرف,,حوسبة,,
Chat,مُحادثة,,واجهة مستخدم,,
check,تأكُّد,,عام,,
check  - uncheck - checkbox,عَلّمَ - أزال العلامة - صندوق العلامة,,قاعدة بيانات، برمجة، واجهة مستخدم,,
check list,قائمة تحقق,,ضبط جودة,,
